System;Station;Commodity;Sell;Buy;Demand;;Supply;;Date;
Eravate;Ackerman Market;Hydrogen Fuel;89;94;;;1623238;High;2015-02-15T09:39:22+00:00;
Eravate;Ackerman Market;Mineral Oil;106;119;;;683001;Med;2015-02-15T09:39:22+00:00;
Eravate;Ackerman Market;Pesticides;362;;1857957;High;;;2015-02-15T09:39:22+00:00;
Eravate;Ackerman Market;Clothing;463;;585089;High;;;2015-02-15T09:39:22+00:00;
Eravate;Ackerman Market;Consumer Technology;7508;;86059;High;;;2015-02-15T09:39:22+00:00;
Eravate;Ackerman Market;Domestic Appliances;715;;171574;Med;;;2015-02-15T09:39:22+00:00;
Eravate;Ackerman Market;Algae;39;53;;;133012;Med;2015-02-15T09:39:22+00:00;
Eravate;Ackerman Market;Animal Meat;1031;1068;;;141311;High;2015-02-15T09:39:22+00:00;
Eravate;Ackerman Market;Coffee;1018;1054;;;894403;High;2015-02-15T09:39:22+00:00;
Eravate;Ackerman Market;Fish;267;282;;;380174;High;2015-02-15T09:39:22+00:00;
Eravate;Ackerman Market;Fruit And Vegetables;220;238;;;36944;Med;2015-02-15T09:39:22+00:00;
Eravate;Ackerman Market;Grain;94;105;;;5192405;High;2015-02-15T09:39:22+00:00;
Eravate;Ackerman Market;Tea;1169;1210;;;787599;High;2015-02-15T09:39:22+00:00;
Eravate;Ackerman Market;Beer;86;101;;;79168;Med;2015-02-15T09:39:22+00:00;
Eravate;Ackerman Market;Water Purifiers;;;52.311;Low;;;2015-02-15T13:30:27+00:00;
Eravate;Ackerman Market;Agri-Medicines;1301;;672978;High;;;2015-02-15T13:30:27+00:00;
Eravate;Ackerman Market;Basic Medicines;315;;7747;Low;;;2015-02-15T13:30:27+00:00;
Eravate;Ackerman Market;Performance Enhancers;7487;;59321;High;;;2015-02-15T13:30:27+00:00;
Eravate;Ackerman Market;Progenitor Cells;7487;;47811;High;;;2015-02-15T13:30:27+00:00;
Eravate;Ackerman Market;Animal Monitors;456;;2081142;High;;;2015-02-15T13:30:27+00:00;
Eravate;Ackerman Market;Aquaponic Systems;424;;4614704;High;;;2015-02-15T13:30:27+00:00;
Eravate;Ackerman Market;Land Enrichment Systems;5461;;197935;High;;;2015-02-15T13:30:27+00:00;
Eravate;Ackerman Market;Leather;86;101;;;79172;Med;2015-02-15T13:30:27+00:00;
Eravate;Ackerman Market;Natural Fabrics;304;322;;;28317;Med;2015-02-15T13:30:27+00:00;
Eravate;Ackerman Market;Biowaste;98;;2850126;High;;;2015-02-15T13:30:27+00:00;
Eravate;Ackerman Market;Non-Lethal Weapons;2180;;2649;High;;;2015-02-15T13:30:27+00:00;
Eravate;Ackerman Market;Reactive Armour;2457;;7225;High;;;2015-02-15T13:30:27+00:00;
